||Sütunlar|
Satırlar||Belediye, Köy Ve Mahalle Nüfusları|
||Ölçüm bazında|
|||
|||
|İzmir(Bergama/Bergama Bel./Talatpaşa Mah.)-41372|666.0|
|İzmir(Bergama/Bergama Bel./Tavukçukuru Mah.)-193787|228.0|
|İzmir(Bergama/Bergama Bel./Tekkedere Mah.)-193815|214.0|
|İzmir(Bergama/Bergama Bel./Tepeköy Mah.)-193527|1250.0|
|İzmir(Bergama/Bergama Bel./Terzihaliller Mah.)-193661|258.0|
|İzmir(Bergama/Bergama Bel./Tırmanlar Mah.)-193725|422.0|
|İzmir(Bergama/Bergama Bel./Tiyelti Mah.)-193525|158.0|
|İzmir(Bergama/Bergama Bel./Topallar Mah.)-193729|183.0|
|İzmir(Bergama/Bergama Bel./Turabey Mah.)-41373|3285.0|
|İzmir(Bergama/Bergama Bel./Üçtepe Mah.)-193529|64.0|
|İzmir(Bergama/Bergama Bel./Ulucamii Mah.)-41374|740.0|
|İzmir(Bergama/Bergama Bel./Ürkütler Mah.)-193733|158.0|
|İzmir(Bergama/Bergama Bel./Yalnızdam Mah.)-193589|65.0|
|İzmir(Bergama/Bergama Bel./Yalnızev Mah.)-193531|814.0|
|İzmir(Bergama/Bergama Bel./Yenikent Mah.)-193383|858.0|
|İzmir(Bergama/Bergama Bel./Yeniler Mah.)-193593|108.0|
|İzmir(Bergama/Bergama Bel./Yerlitahtacı Mah.)-193535|151.0|
|İzmir(Bergama/Bergama Bel./Yortanlı Mah.)-193737|55.0|
|İzmir(Bergama/Bergama Bel./Yukarıada Mah.)-193739|345.0|
|İzmir(Bergama/Bergama Bel./Yukarıbey Mah.)-193599|918.0|
|İzmir(Bergama/Bergama Bel./Yukarıcuma Mah.)-193665|206.0|
|İzmir(Bergama/Bergama Bel./Yukarıkırıklar Mah.)-193537|117.0|
|İzmir(Bergama/Bergama Bel./Zafer Mah.)-41375|4374.0|
|İzmir(Bergama/Bergama Bel./Zağnoz Mah.)-193597|75.0|
|İzmir(Bergama/Bergama Bel./Zeytindağ Mah.)-193349|2618.0|
|İzmir(Beydağ/Beydağ Bel./Adaküre Mah.)-193823|387.0|
|İzmir(Beydağ/Beydağ Bel./Aktepe Mah.)-41391|451.0|
|İzmir(Beydağ/Beydağ Bel./Alakeçili Mah.)-193827|102.0|
|İzmir(Beydağ/Beydağ Bel./Atatürk Mah.)-41392|2262.0|
|İzmir(Beydağ/Beydağ Bel./Bakırköy Mah.)-193831|221.0|
|İzmir(Beydağ/Beydağ Bel./Beyköy Mah.)-41393|291.0|
|İzmir(Beydağ/Beydağ Bel./Çamlık Mah.)-193835|378.0|
|İzmir(Beydağ/Beydağ Bel./Çiftlikköy Mah.)-193837|176.0|
|İzmir(Beydağ/Beydağ Bel./Çomaklar Mah.)-193841|300.0|
|İzmir(Beydağ/Beydağ Bel./Cumhuriyet Mah.)-41394|3061.0|
|İzmir(Beydağ/Beydağ Bel./Eğridere Mah.)-193845|635.0|
|İzmir(Beydağ/Beydağ Bel./Erikli Mah.)-193849|330.0|
|İzmir(Beydağ/Beydağ Bel./Halıköy Mah.)-193853|381.0|
|İzmir(Beydağ/Beydağ Bel./Karaoba Mah.)-193857|341.0|
|İzmir(Beydağ/Beydağ Bel./Kurudere Mah.)-193861|462.0|
|İzmir(Beydağ/Beydağ Bel./Menderes Mah.)-193863|128.0|
|İzmir(Beydağ/Beydağ Bel./Mutaflar Mah.)-193865|291.0|
|İzmir(Beydağ/Beydağ Bel./Palamutçuk Mah.)-193869|234.0|
|İzmir(Beydağ/Beydağ Bel./Sarıkaya Mah.)-193871|181.0|
|İzmir(Beydağ/Beydağ Bel./Tabaklar Mah.)-193873|65.0|
|İzmir(Beydağ/Beydağ Bel./Yağcılar Mah.)-193877|428.0|
|İzmir(Beydağ/Beydağ Bel./Yeniyurt Mah.)-193881|74.0|
|İzmir(Beydağ/Beydağ Bel./Yeşiltepe Mah.)-193883|269.0|
|İzmir(Beydağ/Beydağ Bel./Yukarıaktepe Mah.)-193885|299.0|
|İzmir(Beydağ/Beydağ Bel./Yukarıtosunlar Mah.)-193891|157.0|
|İzmir(Bornova/Bornova Bel./Atatürk Mah.)-40970|29527.0|
|İzmir(Bornova/Bornova Bel./Barbaros Mah.)-40971|11413.0|
|İzmir(Bornova/Bornova Bel./Beşyol Mah.)-192739|381.0|
|İzmir(Bornova/Bornova Bel./Birlik Mah.)-40972|6274.0|
|İzmir(Bornova/Bornova Bel./Çamiçi Mah.)-192747|295.0|
|İzmir(Bornova/Bornova Bel./Çamkule Mah.)-40973|6358.0|
|İzmir(Bornova/Bornova Bel./Çiçekli Mah.)-192751|381.0|
|İzmir(Bornova/Bornova Bel./Çınar Mah.)-40986|3905.0|
|İzmir(Bornova/Bornova Bel./Doğanlar Mah.)-40987|22291.0|
|İzmir(Bornova/Bornova Bel./Egemenlik Mah.)-40988|2371.0|
|İzmir(Bornova/Bornova Bel./Eğridere Mah.)-192757|1919.0|
|İzmir(Bornova/Bornova Bel./Ergene Mah.)-40989|11031.0|
