name,ilce_adi,NDVI,NDBI
Fatih Mahallesi,Bergama,0.3401622844698699,-0.030695010091526236
Ferahlı Mahallesi,Konak,0.1846188037801342,0.0549162303434117
Ferizler Mahallesi,Bergama,0.3544300099845851,0.0216316676599535
Fevzi Paşa Mahallesi,Konak,0.1343339765273513,0.0529259842726478
Fevzi Çakmak Mahallesi,Torbalı,0.29925899432134934,0.024666156992833702
Fevzipaşa Mahallesi,Bergama,0.3532897252469318,-0.0026244061374019988
Fikri Altay Mahallesi,Karşıyaka,0.1174627518967578,0.0915009555271532
Fuat Edip Baksı Mahallesi,Bayraklı,0.20793889299567,0.0128644788654937
Fırat Mahallesi,Buca,0.2011849635273235,0.0308961139349488
Fırınlı Mahallesi,Bayındır,0.4662798242462823,-0.0917686485992528
Gaybi Mahallesi,Menemen,0.1474830232651773,0.0869775410992198
Gaylan Mahallesi,Bergama,0.3864741841626653,-0.0018023794930385
Gazi Mahallesi,Menemen,0.1882238592904221,0.0612236960963925
Gazi Mustafa Kemal Mahallesi,Torbalı,0.4071156356129233,-0.06282693142815525
Gazi Osman Paşa Mahallesi,Bornova,0.1073064426258461,0.0499360965062629
Gazikent Mahallesi,Gaziemir,0.2825214401085615,-0.0236692566193284
Gaziler Mahallesi,Bayındır,0.3596806829912836,-0.0204252164837195
Gaziosmanpaşa Mahallesi,Bergama,0.1732474171377312,0.0536535015353847
Gazipaşa Mahallesi,Dikili,0.24753083124447783,0.0412251588479736
Gedik Mahallesi,Kiraz,0.4816403684682278,-0.0184928729958964
General Asım Gündüz Mahallesi,Karabağlar,0.1686509945739614,0.0209165557016341
General Kazım Özalp Mahallesi,Karabağlar,0.1848974304549764,0.0185703164872189
Gereli Mahallesi,Ödemiş,0.4805491249376889,-0.0702153487862847
Germiyan Mahallesi,Çeşme,0.4330044164051411,0.0185677520262888
Gerçekli Mahallesi,Ödemiş,0.4433197694041609,-0.0101695215080829
Goncalar Mahallesi,Karşıyaka,0.107642782961423,0.1017283606314727
Göbeller Mahallesi,Bergama,0.616461773750662,-0.1615507780475309
Gödence Mahallesi,Seferihisar,0.613096181293671,-0.1812982561173784
Gökdere Mahallesi,Bornova,0.4936083794536159,-0.1184989862729488
Göksu Mahallesi,Buca,0.0611457645408853,0.0937060252729367
Göktepe Mahallesi,Menemen,0.4782338429252514,-0.0881898053193901
Gökyaka Mahallesi,Kemalpaşa,0.5562708044323774,-0.1712498935572741
Gökçealan Mahallesi,Selçuk,0.5650114702951594,-0.1796454808019782
Gökçeağıl Mahallesi,Dikili,0.4988664459011438,-0.0737624334831654
Gökçen Mahallesi,Tire,0.4404563577886137,-0.0865001220097611
Gökçeyurt Mahallesi,Bergama,0.471214721781941,-0.0793429672886731
Gölcük Mahallesi,Ödemiş,0.4328752738839204,-0.08564299286798033
Gölcükler Mahallesi,Menderes,0.3183963301167216,0.0124680989127084
Göllüce Mahallesi,Torbalı,0.4056808246440649,-0.0179565496643023
Gölova Mahallesi,Menderes,0.5988202652442038,-0.1431535878404675
Görece Cumhuriyet Mahallesi,Menderes,0.4444562073769284,-0.0553408533822865
Görece Mahallesi,Menemen,0.4450036320606592,-0.0592848514253337
Göztepe Mahallesi,Konak,0.2063239604214206,0.0327001699923988
Göçbeyli Kaplan Mahallesi,Bergama,0.5704746249283095,-0.1149177747709003
Göçbeyli Mahallesi,Bergama,0.3567948854140636,-0.0228205124020445
Gülbahçe Mahallesi,Urla,0.4634881335553835,-0.0496333971324241
Gültepe Mahallesi,Bergama,0.4941140026769877,-0.1172785045912079
Gülyaka Mahallesi,Karabağlar,0.1116781019680687,0.0879609800383875
Gümüldür Atatürk Mahallesi,Menderes,0.5939235062657386,-0.1776848761840255
Gümüldür Cumhuriyet Mahallesi,Menderes,0.6512787458880244,-0.207358575464437
Gümüldür Fevzi Çakmak Mahallesi,Menderes,0.519720697140655,-0.1290819411097206
Gümüldür İnönü Mahallesi,Menderes,0.6556041765748899,-0.2286288891970075
Gümüşpala Mahallesi,Bayraklı,0.1374260631351041,0.0463255501074143
Günaltay Mahallesi,Karabağlar,0.135936249438378,0.0618976213738187
Günerli Mahallesi,Menemen,0.3487736452405237,-0.042704680348353
Güney Mahallesi,Ödemiş,0.3471021999532356,-0.03019989843830705
Güneş Mahallesi,Konak,0.1143896450135868,0.1064310895752197
Güneşli Mahallesi,Bergama,0.37296664480101843,-0.0017680065389136985
Güngör Mahallesi,Konak,0.1087543198279201,0.1078542725020192
Günlüce Mahallesi,Ödemiş,0.5101262708891358,-0.1154806462660564
Gürpınar Mahallesi,Bornova,0.5558540746510312,-0.1880919513473503
Güven Mahallesi,Buca,0.1006107934970537,0.1183070245220301
Güvendik Mahallesi,Urla,0.599037627918149,-0.198865887170252
Güzelhisar Mahallesi,Aliağa,0.3786109640327094,-0.0326945642613412
Güzeltepe Mahallesi,Çiğli,0.1717362188690342,0.0550092206662238
Güzelyalı Mahallesi,Konak,0.1500307418154757,0.0650022653480067
