ILCE,MAHALLE,NUFUS,ALAN_M2,LST_C,NDVI,NDBI,KISI_BASI_M2
BERGAMA,BOZYERLER,240,3000.0,34.55036607187119,0.4766971467311983,-0.0745997990733874,12.5
BERGAMA,CAKIRLAR,63,300.0,29.50233949208031,0.6520722056839218,-0.1998965168945052,4.76
BERGAMA,CALIBAHCE,60,320.0,32.261079117142366,0.425880550844645,-0.0503406843909102,5.33
BERGAMA,CALTIKORU,48,220.0,36.73542403081909,0.3186226017711916,0.0558213609340065,4.58
BERGAMA,CAMAVLU,528,1670.0,32.30544602756606,0.5035255633014029,-0.0395959038610906,3.16
BERGAMA,CAMKOY,147,415.0,38.06683442984541,0.3753327460756459,-0.0447341477210352,2.82
BERGAMA,CAMOBA,72,200.0,36.40908422356239,0.4589279197765991,-0.0259026445119906,2.78
BERGAMA,CELTIKCI,150,1800.0,35.99616231117595,0.4193943090354161,-0.0047647343440091,12.0
BERGAMA,CEVAPLI,60,225.0,36.444951255219095,0.4031649525464965,-0.0236720715560038,3.75
BERGAMA,CITKOY,175,1400.0,36.582944714233165,0.3853338122894766,-0.005246585096259,8.0
BERGAMA,COBANLAR,97,500.0,31.755747081964905,0.5418077526342356,-0.1116321008709522,5.15
BERGAMA,CURUKBAGLAR,123,1300.0,32.259778490402056,0.5684074062805105,-0.1230485652314112,10.57
BERGAMA,DAGISTAN,546,1000.0,33.847736604439056,0.4250157656654542,-0.0724698885836574,1.83
BERGAMA,DEMIRCIDERE,116,640.0,31.170124510694272,0.6209139650811072,-0.1929630760381072,5.52
BERGAMA,DEREKOY,116,2100.0,31.055800154136303,0.5439674826544317,-0.1093739985206911,18.1
BERGAMA,DOGANCI,118,570.0,39.41223765966789,0.2996971490803534,0.1074626084436026,4.83
BERGAMA,DURMUSLAR,366,7000.0,36.315058126348056,0.3490836249809956,0.0557043605003964,19.13
BERGAMA,EGILLER,135,360.0,36.24199975548028,0.3149761695929216,0.0733883721991634,2.67
BERGAMA,EGRIGOL,159,4200.0,33.47465513134488,0.3933543460398861,-0.0215608642369853,26.42
BERGAMA,FATIH,20005,17963.0,35.44173026864477,0.3401622844698699,-0.0306950100915262,0.9
BERGAMA,FERIZLER,145,880.0,36.31267208277698,0.3544300099845851,0.0216316676599535,6.07
BERGAMA,FEVZIPASA,2905,46240.0,36.19873281202329,0.3532897252469318,-0.0026244061374019,15.92
BERGAMA,GAYLAN,128,280.0,36.3514177332272,0.3864741841626653,-0.0018023794930385,2.19
BERGAMA,GAZIOSMANPASA,8637,41817.0,37.02564714676032,0.1732474171377312,0.0536535015353847,4.84
BERGAMA,GOBELLER,291,1900.0,32.135226376467415,0.616461773750662,-0.1615507780475309,6.53
BERGAMA,GOCBEYLI,1429,6500.0,32.20933635771277,0.5704746249283095,-0.1149177747709003,4.55
BERGAMA,GOKCEYURT,41,210.0,35.61533155793205,0.471214721781941,-0.0793429672886731,5.12
BERGAMA,GULTEPE,23,210.0,32.96532901902594,0.4941140026769877,-0.1172785045912079,9.13
BERGAMA,GUNESLI,232,950.0,34.15296673062644,0.3729666448010184,-0.0017680065389136,4.09
BERGAMA,HACIHAMZALAR,198,1150.0,33.66761711105806,0.5517729016682196,-0.0923963332763354,5.81
BERGAMA,HACILAR(ISMAILLIBUCAGI),117,1400.0,36.97244687325577,0.4251543446343374,0.0136165198381381,11.97
BERGAMA,HALILAGALAR,76,330.0,31.14150400076993,0.5427244174638869,-0.1078836627423617,4.34
BERGAMA,HAMZALISULEYMANIYE,109,700.0,37.20683696817593,0.3215210196569171,0.0317673543222538,6.42
BERGAMA,HISARKOY,160,1200.0,30.947137302550185,0.6218509340583904,-0.1785232807077396,7.5
BERGAMA,IKIZLER,129,350.0,30.469717974868686,0.5526963536248898,-0.1284115323272743,2.71
BERGAMA,ILGINCABER,58,430.0,33.95630965896673,0.5072066804235569,-0.085929653293666,7.41
BERGAMA,INCECIKLER,187,2000.0,29.751563651249008,0.5911352153216216,-0.1459412237778572,10.7
